article;english_name;russian_name;russian_confirmed;manufacturer;in_stock_qty;current_price_rub;provenance;own_wholesale_source;own_wholesale_usd;replacement_source;replacement_article;replacement_wholesale_usd;formula_price_rub;delta_rub;replacement_formula_price_rub;price_equals_replacement_formula;catalog;catalog_reference;link_price_source;why_not_certified;suggested_action
14YETISHIM;шайба;;нет;;50.000;750.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
10F;Гильза маслонасоса;;нет;;44.000;3000.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
12G4;топливный фильтр;;нет;;16.000;1500.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
11G2;топливный фильтр;;нет;;16.000;1500.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
10G2;топливный фильтр;;нет;;9.000;1500.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
503190754;RETAINER CUSHION;;нет;BRP;8.000;1019.00;UNVERIFIED;нет;;да;861805547;6.93;;;1019.00;да;brp;503190754;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 861805547 она есть (6.93 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
415130211;SPARK PLUG NGK ILKR9Q7G;;нет;BRP;8.000;2981.00;UNVERIFIED;нет;;да;415130652;20.28;;;2981.00;да;brp;415130211;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 415130652 она есть (20.28 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
;Впускной коллектор 550XU;;нет;BRP;8;;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
421000667;REBUILD-CYLINDER NICAS 593ETEC 08-09;;нет;BRP;7.000;45000.00;VALID_MANUAL_EXCEPTION;нет;;да;420623263;410.78;;;60385.00;нет;brp;421000667;calculated;владелец подтвердил отдельную товарную сущность;CONFIRM MANUAL PRICE
420941256;SCREW TORX TAPTITE FLANGE M6X20;;нет;BRP;5.000;259.00;UNVERIFIED;нет;;да;420441386;1.76;;;259.00;да;brp;420941256;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420441386 она есть (1.76 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
420641640;CONNECTING ROD SCREW M8 X 1;;нет;BRP;4.000;2130.00;UNVERIFIED;нет;;да;420641645;11.57;;;1701.00;нет;brp;420641640;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420641645 она есть (11.57 $); по замене вышло бы 1701.00 руб.";NEEDS HUMAN REVIEW
267000206;IMPELLER BOOT;;нет;BRP;4.000;1364.00;UNVERIFIED;нет;;да;271002225;9.42;;;1385.00;нет;brp;267000206;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 271002225 она есть (9.42 $); по замене вышло бы 1385.00 руб.";NEEDS HUMAN REVIEW
420631610;O-RING;;нет;BRP;4.000;645.00;UNVERIFIED;нет;;да;420631612;3.55;;;522.00;нет;brp;420631610;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420631612 она есть (3.55 $); по замене вышло бы 522.00 руб.";NEEDS HUMAN REVIEW
420924798 карбон;Лепестки Rotax797;;нет;;4.000;2500.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
705002409;AMBER REFLECTOR;;нет;BRP;3.000;1544.00;UNVERIFIED;нет;;да;705011222;10.50;;;1544.00;да;brp;705002409;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 705011222 она есть (10.50 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
420413575RG4;CYLINDER BLOCK PLASMA REBUILD G4;;нет;;3.000;100000.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
420230920;O-RING;;нет;BRP;3.000;384.00;UNVERIFIED;нет;;да;420230923;2.61;;;384.00;да;brp;420230920;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420230923 она есть (2.61 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
250000290;SCREW HEX. M10 X 60;;нет;BRP;3.000;259.00;UNVERIFIED;нет;;да;250001023;1.76;;;259.00;да;brp;250000290;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 250001023 она есть (1.76 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
706203286;SWAY BAR BUSHING;;нет;BRP;3.000;1860.00;UNVERIFIED;нет;;да;706204796;7.85;;;1154.00;нет;brp;706203286;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 706204796 она есть (7.85 $); по замене вышло бы 1154.00 руб.";NEEDS HUMAN REVIEW
271001422;BELLOW;;нет;BRP;2.000;2789.00;UNVERIFIED;нет;;да;463139;18.97;;;2789.00;да;brp;271001422;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 463139 она есть (18.97 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
705002665;OBLONG GROMMET;;нет;BRP;2.000;691.00;UNVERIFIED;нет;;да;705003668;4.70;;;691.00;да;brp;705002665;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 705003668 она есть (4.70 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
705400352;RUBBER BELLOW;;нет;BRP;2.000;925.00;UNVERIFIED;нет;;да;705400552;5.12;;;753.00;нет;brp;705400352;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 705400552 она есть (5.12 $); по замене вышло бы 753.00 руб.";NEEDS HUMAN REVIEW
3086878;BALL BEARING;;нет;POLARIS;1.000;0.00;SOURCE_MISSING;нет;;нет;;;;;;;polaris;3086878;calculated;у своей позиции каталога нет положительной оптовой цены;NEED SOURCE
