article;parttype_name;customs_source;current_customs_name_ru;russian_confirmed;suggested_canonical_ru;manufacturer;in_stock;in_stock_qty;recommended_action
14YETISHIM;шайба;нет таможенной карточки;;нет;шайба;;да;50.000;"подтвердить как есть, если название верное; иначе исправить"
10F;Гильза маслонасоса;auto_translation;;нет;Гильза маслонасоса;;да;44.000;"подтвердить как есть, если название верное; иначе исправить"
11G2;топливный фильтр;нет таможенной карточки;;нет;топливный фильтр;;да;16.000;"подтвердить как есть, если название верное; иначе исправить"
12G4;топливный фильтр;нет таможенной карточки;;нет;топливный фильтр;;да;16.000;"подтвердить как есть, если название верное; иначе исправить"
10G2;топливный фильтр;нет таможенной карточки;;нет;топливный фильтр;;да;9.000;"подтвердить как есть, если название верное; иначе исправить"
;Впускной коллектор 550XU;нет таможенной карточки;;нет;Впускной коллектор 550XU;BRP;да;8;"подтвердить как есть, если название верное; иначе исправить"
420924798 карбон;Лепестки Rotax797;нет таможенной карточки;;нет;Лепестки Rotax797;;да;4.000;"подтвердить как есть, если название верное; иначе исправить"
;Вариатор;нет таможенной карточки;;нет;Вариатор;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Двигатель Rotax 1004;нет таможенной карточки;;нет;Двигатель Rotax 1004;Rotax;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Двигатель Rotax 1203;нет таможенной карточки;;нет;Двигатель Rotax 1203;Rotax;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Двигатель Rotax 900 ACE;нет таможенной карточки;;нет;Двигатель Rotax 900 ACE;Rotax;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Клапан;нет таможенной карточки;;нет;Клапан;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Коленвал;нет таможенной карточки;;нет;Коленвал;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Коллектор;нет таможенной карточки;;нет;Коллектор;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
503193884;крышка катка;нет таможенной карточки;;нет;крышка катка;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Лепестки Rotax797;нет таможенной карточки;;нет;Лепестки Rotax797;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Магнето;нет таможенной карточки;;нет;Магнето;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Масло;нет таможенной карточки;;нет;Масло;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Подшипник;нет таможенной карточки;;нет;Подшипник;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Поршневая группа;нет таможенной карточки;;нет;Поршневая группа;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Прокладка;нет таможенной карточки;;нет;Прокладка;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
;Сальник;нет таможенной карточки;;нет;Сальник;;нет;0;"подтвердить как есть, если название верное; иначе исправить"
2;топливный фильтр;нет таможенной карточки;;нет;топливный фильтр;нн;нет;0;"подтвердить как есть, если название верное; иначе исправить"
