english_name;approved_russian_name;decision;scope;note
OIL SEAL;;;BRP|BRP;
O-RING;;;BRP|BRP;
GASKET;;;BRP|BRP;
BUSHING;;;BRP|BRP;
BALL BEARING;;;BRP|BRP;
NEEDLE BEARING;;;BRP|BRP;
OETIKER CLAMP;;;BRP|BRP;
BOOT_CV JOINT KIT;;;BRP|BRP;
SPRING;;;BRP|BRP;
BELT_DRIVE;;;BRP|BRP;
SPI TOP END GASKET SET;;;SPI|aftermarket;
CUSHION;;;BRP|BRP;
WILDBOAR BRAKE PADS SEMI METAL;;;WILDBOAR|aftermarket;
SEAL;;;BRP|BRP;
OIL PRESSURE SWITCH;;;BRP|BRP;
PISTON CIRCLIP;;;BRP|BRP;
EXHAUST VALVE;;;BRP|BRP;
CIRCLIP;;;BRP|BRP;
SKI STOPPER;;;BRP|BRP;
BOOT CV JOINT KIT;;;BRP|BRP;
SPACER;;;BRP|BRP;
BRONCO BALL JOINT;;;BRONCO PRODUCTS|aftermarket;
CHECK VALVE;;;BRP|BRP;
RUNNER PROTECTOR;;;BRP|BRP;
BRONCO TIE ROD END;;;BRONCO PRODUCTS|aftermarket;
LEVER;;;BRP|BRP;
топливный фильтр;;;|нет;
PISTON PIN;;;BRP|BRP;
WASHER;;;BRP|BRP;
CLIP;;;BRP|BRP;
SPI CONNECTING ROD KIT;;;SPI|aftermarket;
BUSHING_STABILIZER BAR;;;BRP|BRP;
BRONCO UNIVERSAL JOINT;;;BRONCO PRODUCTS|aftermarket;
CAP;;;BRP|BRP;
EXHAUST GASKET;;;BRP|BRP;
GROMMET;;;BRP|BRP;
RUBBER BOOT;;;BRP|BRP;
RUBBER STOPPER;;;BRP|BRP;
PROX PISTON KIT SKI-DOOMXZ500 LEGEND 500;;;PROX|aftermarket;
GUARD;;;BRP|BRP;
RUBBER MOUNT;;;BRP|BRP;
SPI CRANK WEB SKI-DOO PTO SIDE;;;SPI|aftermarket;
WILDBOAR BRAKE PADS FULL METAL;;;WILDBOAR|aftermarket;
AIR FILTER;;;BRP|BRP;
COVER;;;BRP|BRP;
DRIVE SLIDING SHEAVE ASSY;;;BRP|BRP;
SLIDER SHOE;;;BRP|BRP;
ROLLER_PULLEY;;;BRP|BRP;
DAMPER_VIBRATION;;;BRP|BRP;
FILTER_FUEL;;;BRP|BRP;
CLAMP;;;BRP|BRP;
LOWER EXHAUST VALVE;;;BRP|BRP;
GRIP;;;BRP|BRP;
CHAIN GUIDE;;;BRP|BRP;
INSULATION_THERMAL;;;BRP|BRP;
SPARK PLUG NGK PFR7AB;;;BRP|BRP;
WHEEL CAP;;;BRP|BRP;
BUSHING HALF;;;BRP|BRP;
BALL JOINT;;;BRP|BRP;
BLACK HANDLE;;;BRP|BRP;
ROLLER;;;BRP|BRP;
IMPELLER BOOT;;;BRP|BRP;
CARBURETOR SOCKET;;;BRP|BRP;
GASKET VALVE ROD HOUSING;;;BRP|BRP;
HALF BUSHING;;;BRP|BRP;
PAWL;;;BRP|BRP;
PROX PISTON KIT SKI-DOO MXZ600 '99-01;;;PROX|aftermarket;
PROX PISTON KIT SKI-DOO MZX550;;;PROX|aftermarket;
PUMP_HYDRAULIC;;;BRP|BRP;
RUBBER RING;;;BRP|BRP;
WEAR RING;;;BRP|BRP;
BELLOWS;;;BRP|BRP;
PIN;;;BRP|BRP;
WEAR PLATE;;;BRP|BRP;
PLASTIC NUT;;;BRP|BRP;
STOPPER;;;BRP|BRP;
CLEAR HANDLE BAR;;;BRP|BRP;
ROTARY SEAL;;;BRP|BRP;
BELT DRIVE;;;BRP|BRP;
INTAKE NECK;;;BRP|BRP;
O RING;;;BRP|BRP;
Seal;;;BRP|BRP;
THERMOSTAT;;;BRP|BRP;
AIR FILTER RH, (NITEX MESH);;;BRP|BRP;
HOOD LATCH;;;BRP|BRP;
OIL PUMP SHAFT;;;BRP|BRP;
SPRING SEAT;;;BRP|BRP;
WATER PUMP HOUSING;;;BRP|BRP;
CLAMP_CRIMP;;;BRP|BRP;
DOUBLE GASKET 0.7 MM;;;BRP|BRP;
NEOPRENE SEAL;;;BRP|BRP;
OEM STYLE PISTON KIT WITH RINGS TEFLON COATED STD.;;;SPI|aftermarket;
SPI MAG CRANK WEB;;;SPI|aftermarket;
BUMPER;;;BRP|BRP;
DECAL RH;;;BRP|BRP;
LENS;;;BRP|BRP;
FRAME CORNER LH;;;BRP|BRP;
FRAME CORNER RH;;;BRP|BRP;
GUARD_MUD;;;BRP|BRP;
IMPELLER RING;;;BRP|BRP;
MICROSWITCH;;;BRP|BRP;
NAMURA PWC CONNECTING ROD;;;NAMURA TECHNOLOGIES|aftermarket;
SIDE DECAL LH;;;BRP|BRP;
THROTTLE CABLE;;;BRP|BRP;
