english_name;suggested_russian_name;confidence;ambiguity_reason;number_of_in_stock_parttypes;total_in_stock_qty;manufacturers;catalog;sample_articles;applications;name_contains_russian;multi_meaning;split_by_source;safe_bulk_group;parts_with_this_english_name_total;parttypes_in_whole_catalog;suggested_operator_decision
OIL SEAL;Сальник;HIGH;;32;150.000;BRP;BRP;420831955, 420931795, 420950732, 420850055, 420931455;СНЕГОХОД;нет;нет;нет;да;32;33;APPROVE
O-RING;Кольцо уплотнительное;HIGH;;28;148.000;BRP;BRP;732401030, 293300026, 420631300, 619230069, 420430373;СНЕГОХОД;нет;нет;нет;да;28;29;APPROVE
GASKET;Прокладка;HIGH;;22;65.000;BRP;BRP;420430486, 420931568, 420931610, 420931813, 420630265;;нет;нет;нет;да;22;25;APPROVE
BUSHING;Втулка;HIGH;;21;116.000;BRP;BRP;5446652, 420933523, 505072250, 505072690, 505072214;;нет;нет;нет;да;21;21;APPROVE
BALL BEARING;Подшипник шариковый;HIGH;это же название встречается у другого производителя или каталога: группа разделена, решение действует только на свою;15;43.000;BRP;BRP;420832713, 420832176, 420832596, 293350150, 420832178;;нет;нет;да;да;16;15;APPROVE
NEEDLE BEARING;Подшипник игольчатый;HIGH;;9;19.000;BRP;BRP;293350017, 420832030, 420632070, 611002529, 705402848;;нет;нет;нет;да;9;10;APPROVE
OETIKER CLAMP;Хомут OETIKER;HIGH;;8;55.000;BRP;BRP;293650053, 293650125, 420851683, 293650199, 293650100;;нет;нет;нет;да;8;11;APPROVE
BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;7;11.000;BRP;BRP;715900298, 715900299, 705500870, 705400511, 705400127;;нет;нет;нет;да;7;7;APPROVE
SPRING;Пружина;HIGH;;6;16.000;BRP;BRP;415107100, 420238558, 420239943, 514054226, 420238120;;нет;нет;нет;да;6;6;APPROVE
BELT_DRIVE;Ремень вариатора;HIGH;;6;9.000;BRP;BRP;605348425, 417300155, 417300551, 417300586, 417300197;;нет;нет;нет;да;6;6;APPROVE
SPI TOP END GASKET SET;Комплект прокладок верхней части двигателя SPI;HIGH;;5;27.000;SPI;aftermarket;09-710303, 09-710278, SM-09507T, 09-710259, 09-710277;;нет;нет;нет;да;5;111;APPROVE
CUSHION;Подушка;HIGH;;5;20.000;BRP;BRP;572034500, 420933180, 706200185, 505070003, M544417;;нет;нет;нет;да;5;5;APPROVE
WILDBOAR BRAKE PADS SEMI METAL;Колодки тормозные WILDBOAR SEMI металлический;NEEDS_HUMAN_REVIEW;не переведены слова: SEMI;5;19.000;WILDBOAR;aftermarket;AT-05266, AT-05267, AT-05612, AT-05611, AT-05561;;нет;нет;нет;нет;5;78;EDIT
SEAL;Сальник;HIGH;;5;16.000;BRP;BRP;293200144, 271002071, 705500265, 293200159, 293200158;;нет;нет;нет;да;5;5;APPROVE
OIL PRESSURE SWITCH;Датчик давления масла;HIGH;;5;8.000;BRP;BRP;420856533, 420256978, 420256915, 420856536, 420856537;;нет;нет;нет;да;5;5;APPROVE
PISTON CIRCLIP;Кольцо стопорное поршневого пальца;HIGH;;4;43.000;BRP;BRP;420845106, 420845467, 420945735, 420845107;;нет;нет;нет;да;4;4;APPROVE
EXHAUST VALVE;Клапан выпускной;HIGH;;4;18.000;BRP;BRP;420854990, 420854371, 420854890, 420854449;;нет;нет;нет;да;4;4;APPROVE
CIRCLIP;Кольцо стопорное;HIGH;;4;16.000;BRP;BRP;420845465, 293370038, 420845611, 420845580;;нет;нет;нет;да;4;4;APPROVE
SKI STOPPER;Ограничитель лыжи;HIGH;;4;15.000;BRP;BRP;505071779, 505074831, 505074138, 505072594;;нет;нет;нет;да;4;4;APPROVE
BOOT CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;4;10.000;BRP;BRP;705501864, 705400512, 705401354, 705401346;;нет;нет;нет;да;4;4;APPROVE
SPACER;Проставка;HIGH;;4;10.000;BRP;BRP;706001282, 420231080, 271001393, 271001264;;нет;нет;нет;да;4;4;APPROVE
BRONCO BALL JOINT;Шаровая опора BRONCO;HIGH;;4;8.000;BRONCO PRODUCTS;aftermarket;AT-08812, AT-08810, AT-08819, AT-08807;;нет;нет;нет;да;4;42;APPROVE
CHECK VALVE;Клапан обратный;HIGH;;4;8.000;BRP;BRP;420660543, 420956071, 420956511, 275500398;;нет;нет;нет;да;4;4;APPROVE
RUNNER PROTECTOR;Защита направляющая;MEDIUM;проверьте порядок слов: RUNNER;4;8.000;BRP;BRP;605348954, 503192299, 572075400, 503191137;;нет;нет;нет;нет;4;4;EDIT
BRONCO TIE ROD END;Наконечник рулевой тяги BRONCO;HIGH;;4;6.000;BRONCO PRODUCTS;aftermarket;AT-08776, AT-08122, AT-08123, AT-08760;КВАДРОЦИКЛ;нет;нет;нет;да;4;69;APPROVE
LEVER;Рычаг;HIGH;;4;5.000;BRP;BRP;507032476, 415129216, 507032428, 706000554;;нет;нет;нет;да;4;4;APPROVE
топливный фильтр;;NEEDS_HUMAN_REVIEW;"название уже содержит русский текст; в самом названии карточки уже есть русский текст";3;41.000;;нет;11G2, 12G4, 10G2;;да;нет;нет;нет;3;3;REVIEW
PISTON PIN;Палец поршневой;HIGH;;3;39.000;BRP;BRP;420916412, 420916407, 420916480;;нет;нет;нет;да;3;3;APPROVE
WASHER;Шайба;HIGH;;3;23.000;BRP;BRP;211200041, 517297900, 250200014;;нет;нет;нет;да;3;3;APPROVE
CLIP;Клипса;HIGH;;3;15.000;BRP;BRP;517302785, 414227300, 517302674;;нет;нет;нет;да;3;3;APPROVE
SPI CONNECTING ROD KIT;Шатун SPI комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";3;15.000;SPI;aftermarket;SM-09112, SM-09113, SM-09101;;нет;да;нет;нет;3;19;EDIT
BUSHING_STABILIZER BAR;Втулка стабилизатора BAR;NEEDS_HUMAN_REVIEW;"не переведены слова: BAR; многозначные слова, одним переводом на всю базу не закрывается: BAR";3;14.000;BRP;BRP;706004640, 706204796, 706004641;;нет;да;нет;нет;3;3;EDIT
BRONCO UNIVERSAL JOINT;Крестовина BRONCO;HIGH;;3;13.000;BRONCO PRODUCTS;aftermarket;AT-08532, AT-08533, AT-08503;;нет;нет;нет;да;3;19;APPROVE
CAP;Колпачок;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;3;10.000;BRP;BRP;506153294, 420960770, 504154145;СНЕГОХОД;нет;нет;нет;нет;3;3;EDIT
EXHAUST GASKET;Прокладка выпускного коллектора;HIGH;;3;9.000;BRP;BRP;514054174, 707601033, 420950253;;нет;нет;нет;да;3;3;APPROVE
