article;english_name;suggested_russian_name;confidence;ambiguity_note;manufacturer;in_stock_qty;priority;special
732401030;O-RING;Кольцо уплотнительное;HIGH;;BRP;37.000;1;
513033135;LOCKING CLIP;Клипса LOCKING;NEEDS HUMAN REVIEW;не переведены слова: LOCKING;BRP;36.000;1;
415129510;FUEL FILTER;Фильтр топливный;HIGH;;BRP;32.000;1;
417223021;SLIDER SHOE;Ползун направляющей;MEDIUM;у слова несколько принятых переводов, выберите нужный: SHOE;BRP;31.000;1;
420845106;PISTON CIRCLIP;Кольцо стопорное поршневого пальца;HIGH;;BRP;23.000;1;
5446652;BUSHING;Втулка;HIGH;;BRP;22.000;1;
420831955;OIL SEAL;Сальник;HIGH;;BRP;22.000;1;
508000548;BOOT;Пыльник;HIGH;;BRP;21.000;1;
390402300;RIVET_POP 3/16 X ,550;Заклёпка POP 3 16 X 550;NEEDS HUMAN REVIEW;не переведены слова: POP;BRP;21.000;1;
420916412;PISTON PIN;Палец поршневой;HIGH;;BRP;20.000;1;
417127943;ROLLER_PULLEY;Ролик шкива;HIGH;;BRP;20.000;1;
415129670;SPARK PLUG NGK MR7BI-8;Свеча зажигания NGK MR7BI 8;NEEDS HUMAN REVIEW;не переведены слова: MR7BI;BRP;20.000;1;
417126374;FRONT CAM SLIDER SHOE, BLACK;Ползун направляющей передний CAM чёрный;NEEDS HUMAN REVIEW;не переведены слова: CAM;BRP;19.000;1;
293650053;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;19.000;1;
250100185;CHROME WHEEL NUT M10 X 1.25;Гайка CHROME колесо M10 X 1.25;NEEDS HUMAN REVIEW;не переведены слова: CHROME;BRP;18.000;1;
420230515;VALVE STEM SEAL;Сальник клапан STEM;NEEDS HUMAN REVIEW;не переведены слова: STEM;BRP;18.000;1;
570023800;WINDSHIELD LATCH;Защёлка ветровое стекло;MEDIUM;проверьте порядок слов: WINDSHIELD;BRP;18.000;1;
140068;Cam slide shoe;Ползун CAM SLIDE;NEEDS HUMAN REVIEW;не переведены слова: CAM, SLIDE;BRP;17.000;1;
517304538;LOCKING PLATE;Пластина LOCKING;NEEDS HUMAN REVIEW;не переведены слова: LOCKING;BRP;17.000;1;
506152518;LOWER VIBRATION RING;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;17.000;1;
420931795;OIL SEAL;Сальник;HIGH;;BRP;17.000;1;
420933523;BUSHING;Втулка;HIGH;;BRP;16.000;1;
505072250;BUSHING;Втулка;HIGH;;BRP;16.000;1;
420950732;OIL SEAL;Сальник;HIGH;;BRP;16.000;1;
293150119;RIVET_HEMLOK 6,4 X 15;Заклёпка HEMLOK 6 4 X 15;NEEDS HUMAN REVIEW;не переведены слова: HEMLOK;BRP;16.000;1;
605636002;CLINCH NUT HEXSERT M8;Гайка CLINCH HEXSERT M8;NEEDS HUMAN REVIEW;не переведены слова: CLINCH, HEXSERT;BRP;15.000;1;
293300026;O-RING;Кольцо уплотнительное;HIGH;;BRP;15.000;1;
420889051;PISTON ASS'Y 76.11 MM, 1ST OVERSIZE;Поршень в сборе 76.11 MM 1ST OVERSIZE;NEEDS HUMAN REVIEW;не переведены слова: OVERSIZE;BRP;15.000;1;
513034047;FILTER_FUEL;Фильтр топливный;HIGH;;BRP;14.000;1;
703500876;DRIVEN BOLT KIT M139;Болт DRIVEN комплект M139;NEEDS HUMAN REVIEW;не переведены слова: DRIVEN;BRP;13.000;1;
420916407;PISTON PIN;Палец поршневой;HIGH;;BRP;13.000;1;
517304744;BUTTON;Кнопка;HIGH;;BRP;12.000;1;
420851508;CLAMP;Хомут;HIGH;;BRP;12.000;1;
417300006;TAPPING SCREW M4.8 X 16;Винт TAPPING M4.8 X 16;NEEDS HUMAN REVIEW;не переведены слова: TAPPING;BRP;12.000;1;
250000717;TORX HEAD SCREW M6 X 16;Винт TORX HEAD M6 X 16;NEEDS HUMAN REVIEW;не переведены слова: HEAD, TORX;BRP;12.000;1;
512061507;DAMPER_VIBRATION;Демпфер VIBRATION;NEEDS HUMAN REVIEW;не переведены слова: VIBRATION;BRP;11.000;1;
420845560;LOCKING ELEMENT;Элемент LOCKING;NEEDS HUMAN REVIEW;не переведены слова: LOCKING;BRP;11.000;1;
293650125;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;11.000;1;
420845467;PISTON CIRCLIP;Кольцо стопорное поршневого пальца;HIGH;;BRP;11.000;1;
293200144;SEAL;Сальник;HIGH;;BRP;11.000;1;
505073329;SWIVEL BUSHING;Втулка SWIVEL;NEEDS HUMAN REVIEW;не переведены слова: SWIVEL;BRP;11.000;1;
517302785;CLIP;Клипса;HIGH;;BRP;10.000;1;
250400060;COTTER PIN;Палец COTTER;NEEDS HUMAN REVIEW;не переведены слова: COTTER;BRP;10.000;1;
512061516;DAMPER_VIBRATION;Демпфер VIBRATION;NEEDS HUMAN REVIEW;не переведены слова: VIBRATION;BRP;10.000;1;
420430486;GASKET;Прокладка;HIGH;;BRP;10.000;1;
420431380;GASKET RING 10/17/2,3;Прокладка RING 10 17 2 3;NEEDS HUMAN REVIEW;не переведены слова: RING;BRP;10.000;1;
420441311;HEX.SCREW M6 X 20;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;10.000;1;
861805547;KIT SPRING SUPPORT;Кронштейн комплект пружина;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;BRP;10.000;1;
415130651;SPARK PLUG NGK ILKR8Q7;Свеча зажигания NGK ILKR8Q7;NEEDS HUMAN REVIEW;не переведены слова: ILKR8Q7;BRP;10.000;1;
211200041;WASHER;Шайба;HIGH;;BRP;10.000;1;
505072690;BUSHING;Втулка;HIGH;;BRP;9.000;1;
703500875;BUSHING_SUSPENSION ARM KIT;Втулка подвески ARM комплект;NEEDS HUMAN REVIEW;не переведены слова: ARM;BRP;9.000;1;
420845465;CIRCLIP;Кольцо стопорное;HIGH;;BRP;9.000;1;
420931568;GASKET;Прокладка;HIGH;;BRP;9.000;1;
506152483;GRIP;Рукоятка;HIGH;;BRP;9.000;1;
40316;Hex Sc.  M8 x 20 BN73 m(1=10pcs);;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;9.000;1;
514054529;LOWER STOPPER;Упор нижний;HIGH;;BRP;9.000;1;
420631300;O-RING;Кольцо уплотнительное;HIGH;;BRP;9.000;1;
420850055;OIL SEAL;Сальник;HIGH;;BRP;9.000;1;
420931455;OIL SEAL;Сальник;HIGH;;BRP;9.000;1;
506152509;UPPER ANTI-VIBRATION GASKET;Прокладка верхний ANTI VIBRATION;NEEDS HUMAN REVIEW;не переведены слова: ANTI, VIBRATION;BRP;9.000;1;
517297900;WASHER;Шайба;HIGH;;BRP;9.000;1;
420832713;BALL BEARING;Подшипник шариковый;HIGH;;BRP;8.000;1;
420832445;BEARING NEEDLE;Подшипник игольчатый;HIGH;;BRP;8.000;1;
503192771;BLACK WHEEL CAP;Колпак колеса чёрный;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;8.000;1;
505072214;BUSHING;Втулка;HIGH;;BRP;8.000;1;
706206653;BUSHING_SUSPENSION ARM;Втулка подвески ARM;NEEDS HUMAN REVIEW;не переведены слова: ARM;BRP;8.000;1;
572034500;CUSHION;Подушка;HIGH;;BRP;8.000;1;
420933180;CUSHION;Подушка;HIGH;;BRP;8.000;1;
707001169;DAMPER;Демпфер;HIGH;;BRP;8.000;1;
420854990;EXHAUST VALVE;Клапан выпускной;HIGH;;BRP;8.000;1;
420854974;EXHAUST VALVE, LOWER;Клапан выпускной нижний;HIGH;;BRP;8.000;1;
860200808;FASTENER KIT;Крепёж комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;8.000;1;
420931610;GASKET;Прокладка;HIGH;;BRP;8.000;1;
420954054;LOWER EXHAUST VALVE;Клапан выпускной нижний;HIGH;;BRP;8.000;1;
619230069;O-RING;Кольцо уплотнительное;HIGH;;BRP;8.000;1;
420430373;O-RING;Кольцо уплотнительное;HIGH;;BRP;8.000;1;
420931940;OIL SEAL;Сальник;HIGH;;BRP;8.000;1;
420945735;PISTON CIRCLIP;Кольцо стопорное поршневого пальца;HIGH;;BRP;8.000;1;
503190754;RETAINER CUSHION;Подушка фиксатор;MEDIUM;проверьте порядок слов: RETAINER;BRP;8.000;1;
415130211;SPARK PLUG NGK ILKR9Q7G;Свеча зажигания NGK ILKR9Q7G;NEEDS HUMAN REVIEW;не переведены слова: ILKR9Q7G;BRP;8.000;1;
415131139;SPARK PLUG NGK PFR7AB;Свеча зажигания NGK PFR7AB;NEEDS HUMAN REVIEW;не переведены слова: PFR7AB;BRP;8.000;1;
250000587;TORX SCREW M5 X 26;Винт TORX M5 X 26;NEEDS HUMAN REVIEW;не переведены слова: TORX;BRP;8.000;1;
417224868;WASHER_THRUST;Шайба THRUST;NEEDS HUMAN REVIEW;не переведены слова: THRUST;BRP;8.000;1;
